Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
American Made,2017,6.895,4788,50000000,133511855,337170,american made,0,left_only,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
American Ultra,2015,6.09,2876,28000000,27100000,261392,american ultra,0,left_only,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Amsterdam,2022,6.063,1718,80000000,31245810,664469,amsterdam,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
Anatomy of a Fall,2023,7.539,3006,6700000,35634133,915935,anatomy of a fall,0,both,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
Angel Has Fallen,2019,6.598,3723,40000000,146661977,423204,angel has fallen,0,left_only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Anna,2019,6.706,2857,34000000,31626978,484641,anna,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Annabelle Comes Home,2019,6.409,3739,27000000,231252591,521029,annabelle comes home,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Annabelle: Creation,2017,6.605,5857,15000000,306592201,396422,annabelle: creation,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Annihilation,2018,6.434,9078,40000000,43070915,300668,annihilation,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
Anora,2024,7.05,2730,6000000,56286295,1064213,anora,1,both,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
